Player,Age,?Games,?Games_Started,?Minutes_Played_Per_Game,?Field_Goals_Per_Game,?Field_Goal_Attempts_Per_Game,?Field_Goal_Percentage,?3-Point_Field_Goals_Per_Game,?3-Point_Field_Goal_Attempts_Per_Game,?FG_p_on_3-Pt_FGAs.,?2-Point_Field_Goals_Per_Game,?2-Point_Field_Goal_Attempts_Per_Game,?FG_p_on_2-Pt_FGAs.,?Effective_Field_Goal_Percentage,?Free_Throws_Per_Game,?Free_Throw_Attempts_Per_Game,?Free_Throw_Percentage,?Offensive_Rebounds_Per_Game,?Defensive_Rebounds_Per_Game,?Total_Rebounds_Per_Game,?Assists_Per_Game,?Steals_Per_Game,?Blocks_Per_Game,?Turnovers_Per_Game,?Personal_Fouls_Per_Game,?Points_Per_Game,?Minutes_Played,?Player_Efficiency_Rating,?True_Shooting_Percentage,3-Point_Attempt_Rate,?Free_Throw_Attempt_Rate,?Offensive_Rebound_Percentage,?Defensive_Rebound_Percentage,?Total_Rebound_Percentage,?Assist_Percentage,?Steal_Percentage,?Block_Percentage,?Turnover_Percentage,?Usage_Percentage,?Offensive_Win_Shares,?Defensive_Win_Shares,?Win_Shares,?Win_Shares_Per_48_Minutes,?Offensive_Box_Plus/Minus,?Defensive_Box_Plus/Minus,?Box_Plus/Minus,?Value_over_Replacement_Player,Total_salary
Noah Vonleh\vonleno01,22,108,32,16.53333333,2,4.6,0.449,0.466666667,1.433333333,0.312,1.633333333,3.166666667,0.5,0.488333333,0.666666667,1.1,0.614666667,1.366666667,4.566666667,5.933333333,0.666666667,0.4,0.3,0.633333333,1.266666667,5.133333333,583.3333333,12.9,0.512,0.26,0.255666667,8.566666667,30.2,19.2,5.833333333,1.1,1.6,10.76666667,14.7,0.3,0.766666667,1.1,0.088666667,-3.366666667,0.3,-3.066666667,-0.166666667,1621415
Norman Powell\powelno01,24,70,18,15.2,2.1,5.3,0.401,0.8,2.7,0.285,1.4,2.7,0.516,0.472,0.5,0.6,0.821,0.2,1.5,1.7,1.3,0.5,0.2,0.9,1.6,5.5,1062,8.5,0.492,0.497,0.104,1.5,10.9,6.3,11.8,1.7,1.2,14.4,18.9,-0.6,1.2,0.6,0.027,-2.5,-0.4,-2.8,-0.2,9367200
OG Anunoby\anunoog01,20,74,62,20,2.2,4.7,0.471,1,2.7,0.371,1.2,2,0.604,0.577,0.5,0.8,0.629,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.8,5.9,1481,10,0.587,0.569,0.179,3.4,10.4,7,5,1.7,0.8,10.8,12.4,1.4,1.6,3,0.098,0.2,0.4,0.6,1,1952760
Okaro White\whiteok01,25,6,4,13.3,1.2,2.7,0.438,0.7,1.8,0.364,0.5,0.8,0.6,0.563,0.3,0.5,0.667,0.5,1.3,1.8,0.3,0.2,0.2,0.2,1,3.3,80,8.9,0.577,0.688,0.188,4.2,11.2,7.7,3.5,0.6,1.1,5.5,10.3,0.1,0.1,0.2,0.096,-1.5,-1.3,-2.9,0,264919
?mer A???k\asikom01,31,36,0,11.33333333,0.5,1.266666667,0.393333333,0,0,,0.5,1.266666667,0.393333333,0.393333333,0.166666667,0.633333333,0.213666667,0.5,2.066666667,2.566666667,0.2,0.166666667,0.266666667,0.633333333,1.2,1.166666667,121.3333333,2.6,0.377,0,0.502666667,5.133333333,20.93333333,13.13333333,2.066666667,0.566666667,2.033333333,27.26666667,8.5,-0.133333333,0.1,-0.066666667,-0.030333333,-8.366666667,0.3,-8.066666667,-0.2,11286516
Omri Casspi\casspom01,29,53,7,14,2.3,3.9,0.58,0.2,0.4,0.455,2.1,3.5,0.595,0.604,0.9,1.3,0.725,0.6,3.2,3.8,1,0.3,0.4,0.7,1.3,5.7,740,15.5,0.632,0.106,0.333,4.9,24,15.1,9.5,1.2,2,13.5,16.3,1.2,1,2.2,0.141,-1.5,0,-1.4,0.1,2176260
Otto Porter\porteot01,24,77,77,31.6,5.8,11.5,0.503,1.8,4.1,0.441,4,7.4,0.537,0.581,1.4,1.7,0.828,1.3,5.1,6.4,2,1.5,0.5,1,2,14.7,2432,18.3,0.602,0.354,0.145,4.8,18.1,11.4,10.1,2.4,1.5,7.4,18.4,5,3.1,8.1,0.161,2.4,1.2,3.6,3.4,26011913
P.J. Tucker\tuckepj01,32,82,34,27.8,2.1,5.4,0.39,1.4,3.8,0.371,0.7,1.6,0.435,0.52,0.5,0.7,0.717,1.1,4.4,5.6,0.9,1,0.3,0.9,2.5,6.1,2281,8.3,0.537,0.703,0.136,4.6,17.8,11.3,4.6,1.7,1,13.7,10.5,1,3,3.9,0.082,-1.5,1.5,0,1.2,7969537
Pascal Siakam\siakapa01,23,81,5,20.7,3.1,6.1,0.508,0.4,1.6,0.22,2.8,4.5,0.612,0.537,0.7,1.1,0.621,1,3.5,4.5,2,0.8,0.5,0.8,2,7.3,1679,14.5,0.549,0.265,0.175,5.4,18.6,12.1,13.5,1.8,2,11.1,15.7,2.1,2.5,4.7,0.133,0,2.2,2.1,1.7,1544951
Pat Connaughton\connapa01,25,82,5,18.1,2,4.8,0.423,0.9,2.6,0.352,1.1,2.2,0.506,0.518,0.5,0.5,0.841,0.4,1.5,2,1.1,0.3,0.3,0.5,1.5,5.4,1488,9.3,0.539,0.538,0.113,2.7,9.1,5.9,8.7,0.8,1.2,9.5,13.4,1.2,1.3,2.5,0.08,-0.9,-0.4,-1.3,0.3,1641000
Patrick Beverley\beverpa01,29,11,11,30.4,4.4,10.8,0.403,2.2,5.5,0.4,2.2,5.4,0.407,0.504,1.3,1.5,0.824,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2,334,12.4,0.53,0.504,0.143,5.3,9.4,7.4,13.8,2.8,1.3,16.5,19.6,0.1,0.3,0.4,0.056,0.5,0.4,0.9,0.2,5027028
Patrick McCaw\mccawpa01,22,57,10,16.9,1.6,3.9,0.409,0.3,1.4,0.238,1.3,2.5,0.503,0.451,0.5,0.6,0.765,0.3,1.2,1.4,1.4,0.8,0.2,0.7,1.2,4,961,7.4,0.477,0.356,0.151,2,7.2,4.8,10.6,2.2,0.8,14.6,12.8,-0.3,0.8,0.6,0.029,-2.9,-0.5,-3.4,-0.3,1109529
Patrick Patterson\pattepa01,28,82,3,15.5,1.3,3.2,0.398,0.8,2.1,0.386,0.5,1.2,0.421,0.523,0.5,0.6,0.87,0.4,2,2.4,0.7,0.6,0.3,0.4,1.1,3.9,1270,10,0.555,0.643,0.173,2.7,14.6,8.4,6.1,1.9,1.6,10.3,10.8,1.2,1.4,2.6,0.098,-1.6,0.3,-1.3,0.2,5451600
Patty Mills\millspa02,29,82,36,25.7,3.4,8.3,0.411,1.9,5,0.372,1.5,3.3,0.47,0.523,1.3,1.4,0.89,0.3,1.6,1.9,2.8,0.7,0.1,1.3,1.6,10,2107,11.8,0.558,0.607,0.173,1.4,6.8,4.1,16,1.3,0.4,12.6,17.8,2,2.1,4.1,0.093,0.9,-1.3,-0.4,0.9,11571429
Pau Gasol\gasolpa01,37,77,63,23.5,3.7,8.1,0.458,0.6,1.6,0.358,3.2,6.6,0.481,0.492,2.1,2.7,0.756,1.7,6.4,8,3.1,0.3,1,1.4,1.6,10.1,1812,18.9,0.539,0.191,0.333,7.8,30.2,19,20.1,0.7,3.6,13.1,20.4,2.7,3.3,6,0.159,-0.1,3.3,3.2,2.4,15627467
Paul George\georgpa01,27,79,79,36.6,7.3,17,0.43,3.1,7.7,0.401,4.2,9.3,0.454,0.521,4.3,5.2,0.822,0.9,4.7,5.7,3.3,2,0.5,2.7,2.9,21.9,2891,18.7,0.57,0.454,0.307,2.7,14.9,8.6,14.5,2.8,1.2,12.2,25.7,5,3.9,8.9,0.147,2.5,0,2.5,3.3,30560700
Paul Millsap\millspa01,32,38,37,30.1,5.3,11.4,0.464,1,3,0.345,4.3,8.5,0.506,0.509,2.9,4.2,0.696,1.7,4.7,6.4,2.8,1,1.2,1.9,2.6,14.6,1143,17,0.549,0.26,0.37,6.4,17.6,12.1,13.9,1.7,3.2,12.6,22,1.4,1.1,2.5,0.107,0.1,0.7,0.8,0.8,29730769
Quincy Acy\acyqu01,27,70,8,19.4,1.9,5.2,0.356,1.5,4.2,0.349,0.4,1,0.384,0.496,0.7,0.9,0.817,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9,1359,8.2,0.525,0.8,0.164,3.1,17.1,10,6,1.2,1.6,13.3,14.4,-0.1,1.1,1,0.036,-2,-0.2,-2.2,-0.1,213949
Quincy Pondexter\pondequ01,29,23,1,8.5,0.6,2.1,0.286,0.1,1,0.136,0.5,1.2,0.407,0.316,0.6,0.7,0.824,0.3,0.8,1.2,0.4,0.3,0.1,0.5,1,2,196,4,0.398,0.449,0.347,4.2,10.8,7.4,6.3,2,0.9,16.3,15,-0.3,0.1,-0.2,-0.047,-6.1,-0.6,-6.7,-0.2,2165481
Quinn Cook\cookqu01,24,33,18,22.4,3.7,7.6,0.484,1.4,3.2,0.442,2.3,4.5,0.514,0.575,0.7,0.8,0.88,0.3,2.2,2.5,2.7,0.4,0,1,1.8,9.5,740,12.8,0.593,0.413,0.099,1.6,10.2,6.2,16.6,0.8,0.1,10.8,17.5,1.1,0.4,1.6,0.101,0.6,-2.8,-2.2,0,1544951
Rajon Rondo\rondora01,31,65,63,26.2,3.6,7.6,0.468,0.8,2.3,0.333,2.8,5.3,0.526,0.518,0.4,0.7,0.543,0.5,3.6,4,8.2,1.1,0.2,2.3,1.8,8.3,1705,15.3,0.522,0.304,0.093,2,14.2,8.4,42.2,2,0.5,22.7,16.9,1.9,1.7,3.6,0.101,-0.4,-0.7,-1.1,0.4,9000000
Raul Neto\netora01,25,41,0,12.1,1.7,3.7,0.457,0.5,1.1,0.404,1.2,2.5,0.481,0.52,0.6,0.9,0.743,0.2,1,1.2,1.8,0.3,0.1,0.9,0.9,4.5,498,11.9,0.55,0.311,0.232,1.6,9.5,5.6,23,1.3,0.7,17.8,18.3,0.3,0.6,0.9,0.086,-2.1,-1.1,-3.2,-0.1,2150000
